month,year,temperature,dewpoint,windspeed,Soilwater_L1,Soilwater_L2,Soilwater_L3,Soilwater_L4,Precipitation
1,2002,26.008,24.434,1.8453,0.32984,0.32597,0.31477,0.29513,334.85
2,2002,25.774,24.734,1.9875,0.35884,0.35812,0.35536,0.34368,272.51
3,2002,25.777,24.609,1.7504,0.35886,0.35896,0.35898,0.36199,489.08
4,2002,25.89,24.904,1.495,0.36013,0.35991,0.35997,0.36043,474.76
5,2002,26.182,24.826,1.8062,0.35567,0.35541,0.35536,0.35894,290.09
6,2002,26.225,24.162,1.756,0.35398,0.35421,0.35564,0.35867,198.87
7,2002,26.472,23.526,1.9088,0.31319,0.31244,0.3151,0.33407,106.94
8,2002,27.348,23.121,2.0373,0.29345,0.29345,0.29857,0.31132,111.96
9,2002,27.856,22.605,2.3514,0.26684,0.26666,0.27675,0.29317,45.804
10,2002,27.586,22.635,2.4389,0.26314,0.26217,0.26792,0.2797,118.62
11,2002,27.505,23.054,2.2067,0.271,0.26751,0.26634,0.27071,55.85
12,2002,27.1,23.455,2.1157,0.27746,0.27142,0.26266,0.2642,206.15
1,2003,26.571,23.849,2.2466,0.3086,0.30479,0.29419,0.26847,187.47
2,2003,25.294,24.065,1.8779,0.35245,0.35119,0.34514,0.31896,400.95
3,2003,24.954,23.839,1.9167,0.35731,0.35725,0.3569,0.35703,458.07
4,2003,25.936,24.775,1.7801,0.35945,0.35973,0.36035,0.36188,316.55
5,2003,26.598,24.746,1.6978,0.34484,0.34442,0.34503,0.35433,199.13
6,2003,26.453,24.298,1.6886,0.33592,0.33545,0.33549,0.33877,164.16
7,2003,26.811,23.612,1.7771,0.31583,0.31562,0.31735,0.32722,109.63
8,2003,27.178,23.695,1.894,0.2987,0.29729,0.29981,0.30929,123.67
9,2003,27.257,23.595,2.0565,0.30036,0.29933,0.29966,0.30174,108.01
10,2003,27.488,23.432,2.1824,0.29202,0.29093,0.29197,0.29311,145.32
11,2003,27.387,23.698,2.0756,0.29869,0.2975,0.2976,0.29252,74.699
12,2003,26.795,24.212,2.051,0.31383,0.31019,0.30217,0.29302,175.67
1,2004,26.132,24.661,1.8766,0.35274,0.35192,0.34844,0.33385,353.82
2,2004,25.295,24.401,1.9206,0.36361,0.36376,0.36411,0.36357,487.6
3,2004,25.61,24.651,1.9948,0.36399,0.36383,0.36351,0.36575,450.03
4,2004,26.328,24.753,1.9063,0.35677,0.35679,0.35697,0.36079,336.52
5,2004,26.566,24.94,1.8569,0.36002,0.36022,0.36085,0.36468,189.5
6,2004,26.077,24.373,1.8734,0.35241,0.35267,0.35274,0.35567,105.11
7,2004,26.182,23.648,1.8517,0.34244,0.34307,0.34552,0.35143,182.31
8,2004,26.597,23.918,1.9428,0.32118,0.32079,0.32168,0.33193,159.44
9,2004,27.036,24.233,2.0291,0.32212,0.32032,0.31891,0.32213,141.38
10,2004,27.602,23.498,2.3076,0.29262,0.29302,0.29996,0.31129,208.42
11,2004,27.544,23.601,2.3453,0.28886,0.28758,0.28812,0.29783,10.65
12,2004,27.309,23.807,2.0102,0.2927,0.29019,0.28844,0.2912,126.53
1,2005,27.286,24.269,2.0396,0.30134,0.29818,0.29215,0.28793,205.19
2,2005,26.578,24.765,2.0914,0.33256,0.32987,0.3218,0.30038,413.9
3,2005,26.355,24.69,1.8963,0.34691,0.34601,0.34371,0.33409,379.15
4,2005,26.643,24.8,1.8473,0.3463,0.34616,0.3469,0.348,394.44
5,2005,26.397,24.952,1.7458,0.35231,0.35219,0.35128,0.35101,319.57
6,2005,26.848,24.529,1.8646,0.34158,0.342,0.34394,0.35258,106.43
7,2005,27.091,23.823,1.6948,0.32078,0.32119,0.32503,0.33576,79.864
8,2005,27.941,23.314,2.0252,0.28272,0.28272,0.28944,0.30965,89.77
9,2005,28.79,22.541,2.4467,0.2437,0.24671,0.26585,0.28966,46.402
10,2005,28.3,23.321,2.4174,0.26832,0.26336,0.25997,0.27443,119.14
11,2005,28.476,23.576,2.3375,0.26755,0.26388,0.26373,0.26716,61.945
12,2005,26.85,24.272,1.6893,0.31668,0.31148,0.29839,0.27658,317.55
1,2006,26.595,24.74,1.9897,0.34587,0.34462,0.33994,0.32083,320.46
2,2006,26.204,24.626,2.1281,0.35104,0.35031,0.34861,0.34523,300.61
3,2006,26.019,24.734,2.176,0.361,0.36088,0.36103,0.35914,445.49
4,2006,25.978,24.882,1.5105,0.36575,0.36582,0.36628,0.36728,526.79
5,2006,26.171,24.843,1.6832,0.36109,0.36121,0.36155,0.36493,351.87
6,2006,26.598,24.204,1.6346,0.34246,0.34285,0.34494,0.35502,96.165
7,2006,27.156,24.049,1.8849,0.3193,0.31881,0.31909,0.33055,118.63
8,2006,27.636,23.897,2.0829,0.30444,0.30413,0.30636,0.31578,111.28
9,2006,28.251,23.334,2.2166,0.27897,0.27759,0.28342,0.30029,131.5
10,2006,29.143,22.787,2.4335,0.2477,0.25083,0.26454,0.2834,141.81
11,2006,28.427,23.159,2.1827,0.26171,0.25841,0.26039,0.27174,135.58
12,2006,28.852,22.782,2.41,0.24324,0.24136,0.25085,0.26405,234.66
1,2007,29.083,23.677,2.4876,0.25329,0.246,0.24159,0.25605,161.74
2,2007,26.198,24.294,2.2544,0.32402,0.31796,0.29861,0.26777,520.5
3,2007,26.147,24.591,1.9766,0.35022,0.34882,0.34308,0.3208,539.82
4,2007,26.553,25.051,1.8929,0.36094,0.36079,0.36034,0.35755,440.18
5,2007,27.013,25.173,1.862,0.35704,0.35714,0.3576,0.35986,332.11
6,2007,26.987,24.063,1.899,0.33866,0.33936,0.34263,0.35146,98.632
7,2007,27.018,24.284,1.7553,0.32876,0.32773,0.32594,0.33189,104.85
8,2007,27.659,23.804,2.0088,0.31036,0.30999,0.31248,0.32094,56.404
9,2007,28.445,23.273,2.2834,0.273,0.27291,0.28239,0.3037,81.388
10,2007,28.267,23.133,2.4597,0.26473,0.26094,0.26346,0.28505,185.15
11,2007,29.365,22.592,2.5323,0.23333,0.23101,0.2469,0.2717,82.589
12,2007,27.158,23.777,1.9742,0.29272,0.28483,0.26404,0.26358,315.35
1,2008,26.094,24.035,2.026,0.33843,0.33527,0.32352,0.28765,421.43
2,2008,25.983,24.393,2.0207,0.35868,0.35838,0.35727,0.35095,391.33
3,2008,25.654,24.153,1.6453,0.36349,0.36359,0.36392,0.364,547.52
4,2008,25.948,24.565,1.6736,0.36447,0.36457,0.36439,0.36731,469.15
5,2008,26.187,24.637,1.7208,0.36043,0.36029,0.36049,0.36802,319.45
6,2008,26.362,24.078,1.6947,0.3494,0.34981,0.35212,0.3581,174.14
7,2008,26.96,23.436,1.8285,0.31622,0.3155,0.31649,0.33145,65.368
8,2008,27.453,23.642,1.9141,0.31484,0.31377,0.31362,0.31857,89.452
9,2008,28.16,23.652,2.2509,0.29726,0.29568,0.29746,0.30689,116.97
10,2008,28.803,22.762,2.4395,0.26737,0.26711,0.27428,0.29188,177.82
11,2008,29.429,22.365,2.4118,0.2335,0.23134,0.24514,0.27514,74.547
12,2008,27.397,23.957,1.9059,0.31581,0.31124,0.30249,0.28295,200.39
1,2009,26.739,24.073,2.0401,0.3312,0.32955,0.32504,0.31106,287.87
2,2009,26.046,24.323,1.9628,0.35603,0.35539,0.35296,0.3443,417.33
3,2009,26.098,24.605,1.8023,0.36148,0.36147,0.36171,0.36437,583.97
4,2009,26.163,24.312,1.6698,0.35356,0.35319,0.35328,0.35701,445.89
5,2009,25.988,24.468,1.5193,0.36463,0.36457,0.36485,0.36558,563.43
6,2009,26.227,24.388,1.8308,0.35512,0.35533,0.35533,0.36351,320.6
7,2009,26.856,23.833,2.0467,0.32642,0.32684,0.32925,0.34177,87.2
8,2009,28.183,22.872,2.1847,0.27818,0.27934,0.29024,0.31346,58.681
9,2009,29.308,21.729,2.5489,0.2326,0.23947,0.26457,0.28946,63.985
10,2009,30.126,21.069,2.5929,0.21379,0.21973,0.24629,0.27083,64.982
11,2009,30.316,21.126,2.7968,0.20721,0.21474,0.24095,0.25753,44.089
12,2009,28.493,23.076,2.4824,0.25777,0.24853,0.23365,0.24841,286.31
1,2010,27.017,23.977,2.1748,0.31224,0.30708,0.28991,0.25411,300.54
2,2010,27.484,24.692,2.5474,0.3424,0.34057,0.3348,0.30502,320.05
3,2010,27.87,24.749,2.1424,0.33339,0.33238,0.33091,0.32778,264.49
4,2010,26.886,25.393,1.8086,0.36484,0.36473,0.36498,0.36409,452.06
5,2010,27.469,25.452,1.7407,0.35453,0.35422,0.35377,0.35774,293.43
6,2010,27.253,24.352,1.7718,0.33685,0.33685,0.33836,0.35793,98.59
7,2010,27.302,24.372,1.8109,0.3407,0.34063,0.34203,0.34591,156.02
8,2010,28.005,23.394,1.9233,0.29158,0.2921,0.30097,0.32519,116.63
9,2010,28.698,22.975,2.1995,0.25806,0.259,0.27039,0.29756,85.313
10,2010,29.505,22.377,2.3683,0.22691,0.22705,0.24421,0.27608,134.62
11,2010,28.674,23.104,2.2016,0.26646,0.26182,0.25206,0.26328,104.86
12,2010,27.234,23.781,2.0187,0.3016,0.2969,0.2847,0.26574,235.58
1,2011,25.775,23.954,1.9864,0.3433,0.34052,0.33051,0.29845,433.14
2,2011,25.852,24.05,1.9486,0.35676,0.35655,0.35662,0.35459,559.26
3,2011,25.978,24.304,1.8727,0.3579,0.35777,0.35747,0.35955,551.15
4,2011,25.965,24.528,1.7745,0.36572,0.36572,0.36638,0.36694,402.58
5,2011,26.616,24.9,1.7665,0.35877,0.35871,0.35917,0.36356,326.75
6,2011,27.035,24.076,1.9929,0.32748,0.32718,0.32818,0.34274,98.744
7,2011,26.867,23.523,1.8927,0.32176,0.32159,0.32301,0.32665,153.31
8,2011,27.929,23.286,2.0728,0.28785,0.28758,0.29375,0.31116,184.2
9,2011,29.255,22.501,2.2889,0.24997,0.25185,0.26691,0.29081,97.274
10,2011,29.64,21.883,2.3207,0.22267,0.22381,0.24007,0.27185,239.3
11,2011,29.149,22.168,2.3215,0.24334,0.2408,0.24342,0.25981,164.8
12,2011,29.923,21.477,2.65,0.21709,0.21787,0.233,0.25054,141.54
1,2012,27.485,22.956,2.0683,0.26706,0.25704,0.23368,0.24339,380.6
2,2012,26.549,23.297,2.096,0.30377,0.29733,0.27838,0.24835,471.37
3,2012,26.234,24.13,2.2271,0.34166,0.33991,0.33399,0.3059,459.92
4,2012,26.94,24.543,2.1819,0.33714,0.33594,0.33414,0.32974,345.75
5,2012,27.329,24.05,2.227,0.32305,0.32291,0.32563,0.33375,228.45
6,2012,27.131,23.789,2.1344,0.30872,0.30724,0.3068,0.31547,120.39
7,2012,26.892,24.327,1.9268,0.33259,0.3316,0.32893,0.32249,120.56
8,2012,27.277,23.321,2.0522,0.30337,0.30271,0.30512,0.31761,61.441
9,2012,28.32,22.013,2.4741,0.2499,0.25197,0.27009,0.297,68.435
10,2012,29.649,21.068,2.5434,0.20588,0.20969,0.23772,0.27499,85.536
11,2012,29.815,21.118,2.4326,0.21182,0.21087,0.22919,0.25839,45.405
12,2012,27.974,22.671,2.3178,0.2585,0.25031,0.23437,0.24902,209.58
1,2013,26.395,24.069,2.3769,0.32757,0.32343,0.30735,0.26756,334.95
2,2013,26.246,24.051,2.3725,0.34441,0.34328,0.33941,0.32178,626.85
3,2013,26.561,24.571,2.3737,0.3525,0.35171,0.35012,0.3488,427.2
4,2013,26.497,24.65,2.0797,0.35712,0.35675,0.35601,0.35527,365.9
5,2013,26.672,24.392,2.0641,0.35471,0.35501,0.3569,0.36258,351.26
6,2013,27.006,23.927,2.0783,0.32589,0.32452,0.32349,0.33726,170.08
7,2013,26.365,23.658,1.9531,0.33625,0.33561,0.33476,0.33641,200.46
8,2013,27.651,24.079,2.0554,0.31168,0.31034,0.31064,0.32087,166.88
9,2013,27.962,23.956,2.4035,0.31015,0.31072,0.31525,0.31706,93.018
10,2013,28.708,23.059,2.6038,0.26442,0.26642,0.28112,0.29995,135.02
11,2013,28.15,23.071,2.3579,0.26993,0.26855,0.27275,0.28405,212.15
12,2013,28.444,22.847,2.5109,0.26315,0.26389,0.27296,0.27603,228.33
1,2014,26.869,23.231,2.3015,0.28924,0.28418,0.27702,0.27076,387.37
2,2014,26.026,24.338,2.119,0.35093,0.34878,0.34124,0.31318,558.34
3,2014,26.283,24.479,2.2459,0.35091,0.35027,0.34952,0.34917,519.29
4,2014,26.563,24.71,2.0252,0.35401,0.35328,0.35295,0.35274,422.23
5,2014,26.576,24.866,1.9166,0.36073,0.36061,0.36087,0.3624,274.79
6,2014,27.016,24.824,2.0066,0.35116,0.35091,0.35102,0.35468,212.76
7,2014,26.973,24.487,2.0585,0.34652,0.34653,0.34698,0.35027,172.66
8,2014,27.56,23.942,2.1317,0.31351,0.31368,0.31898,0.33343,119.55
9,2014,27.873,23.087,2.5205,0.27941,0.28057,0.28956,0.30738,116.9
10,2014,28.235,23.669,2.5016,0.28365,0.28186,0.28327,0.2916,183.28
11,2014,28.862,22.757,2.4947,0.25775,0.26073,0.27669,0.28139,44.426
12,2014,28.394,22.867,2.6142,0.26597,0.26684,0.27609,0.2737,229.41
1,2015,26.917,23.68,2.3017,0.30139,0.29733,0.28805,0.27369,397.46
2,2015,26.462,24.037,2.3371,0.32366,0.3199,0.3108,0.28862,419.55
3,2015,26.333,24.494,2.0629,0.34677,0.34513,0.34036,0.32271,497.97
4,2015,26.599,24.644,2.3053,0.34829,0.3475,0.34653,0.34692,439.06
5,2015,27.064,24.834,2.017,0.34697,0.3466,0.34667,0.34758,335.66
6,2015,27.173,24.59,2.1544,0.3354,0.33487,0.3351,0.34192,150.53
7,2015,27.247,24.172,2.1431,0.32136,0.32071,0.32207,0.33022,192.01
8,2015,28.373,23.467,2.1785,0.28435,0.28745,0.30067,0.31252,34.278
9,2015,28.951,22.769,2.5915,0.25461,0.2611,0.28287,0.29331,92.948
10,2015,29.255,22.86,2.7256,0.25178,0.25804,0.27974,0.28103,112.9
11,2015,29.513,22.559,2.8102,0.24738,0.25343,0.27348,0.27217,29.354
12,2015,28.695,23.5,2.8716,0.26544,0.26318,0.26629,0.26503,204.15
1,2016,27.307,24.647,2.618,0.30985,0.30458,0.28999,0.26721,260.62
2,2016,26.916,24.76,2.7263,0.33416,0.3318,0.32474,0.2982,413.24
3,2016,27.041,25.094,2.1897,0.346,0.34464,0.34219,0.33364,506.46
4,2016,27.415,25.366,2.2564,0.35026,0.34953,0.34919,0.34954,370.83
5,2016,27.738,25.059,1.9894,0.32872,0.32821,0.33115,0.3415,400.98
6,2016,27.711,24.195,1.9272,0.31279,0.31193,0.31219,0.32046,124.96
7,2016,27.632,23.868,1.9477,0.30397,0.3033,0.30514,0.30997,137.58
8,2016,28.707,23.07,2.2497,0.26915,0.27153,0.28586,0.29756,87.389
9,2016,28.659,22.987,2.3603,0.25921,0.25977,0.27113,0.28382,92.104
10,2016,28.946,22.839,2.3881,0.2474,0.24781,0.25912,0.27217,291.82
11,2016,29.068,23.174,2.4344,0.24502,0.24618,0.25808,0.26335,40.031
12,2016,27.697,23.592,2.2943,0.27539,0.2712,0.26783,0.25943,316.35
1,2017,26.2,24.39,2.1213,0.34251,0.34003,0.33106,0.29658,565.09
2,2017,26.121,24.287,2.02,0.35012,0.34905,0.34691,0.34179,554.38
3,2017,26.183,24.437,1.948,0.3517,0.35129,0.35158,0.35198,550.17
4,2017,26.788,24.824,2.0501,0.35349,0.35298,0.35309,0.3545,363.46
5,2017,27.413,24.916,2.0539,0.33903,0.33871,0.34019,0.34887,261.24
6,2017,27.572,24.723,1.9355,0.3352,0.33447,0.33374,0.33465,136.33
7,2017,27.541,23.418,1.9024,0.31747,0.31829,0.32377,0.33572,53.955
8,2017,28.502,23.58,2.08,0.27522,0.27681,0.28822,0.3079,140.29
9,2017,28.604,23.572,2.3288,0.27126,0.26966,0.27516,0.28974,96.581
10,2017,28.66,23.361,2.6919,0.25575,0.2556,0.26679,0.27781,208.5
11,2017,29.085,22.716,2.5717,0.24774,0.25107,0.26641,0.26837,25.042
12,2017,27.948,23.375,2.4586,0.27571,0.2742,0.27366,0.26308,264.86
