field,BDRICM_BDRICM_M,BDRLOG_BDRLOG_M,BDTICM_BDTICM_M,BLDFIE_sl1,BLDFIE_sl2,BLDFIE_sl3,BLDFIE_sl4,BLDFIE_sl5,BLDFIE_sl6,BLDFIE_sl7,CECSOL_sl1,CECSOL_sl2,CECSOL_sl3,CECSOL_sl4,CECSOL_sl5,CECSOL_sl6,CECSOL_sl7,CLYPPT_sl1,CLYPPT_sl2,CLYPPT_sl3,CLYPPT_sl4,CLYPPT_sl5,CLYPPT_sl6,CLYPPT_sl7,CRFVOL_sl1,CRFVOL_sl2,CRFVOL_sl3,CRFVOL_sl4,CRFVOL_sl5,CRFVOL_sl6,CRFVOL_sl7,OCSTHA_sd1,OCSTHA_sd2,OCSTHA_sd3,OCSTHA_sd4,OCSTHA_sd5,OCSTHA_sd6,ORCDRC_sl1,ORCDRC_sl2,ORCDRC_sl3,ORCDRC_sl4,ORCDRC_sl5,ORCDRC_sl6,ORCDRC_sl7,PHIHOX_sl1,PHIHOX_sl2,PHIHOX_sl3,PHIHOX_sl4,PHIHOX_sl5,PHIHOX_sl6,PHIHOX_sl7,PHIKCL_sl1,PHIKCL_sl2,PHIKCL_sl3,PHIKCL_sl4,PHIKCL_sl5,PHIKCL_sl6,PHIKCL_sl7,SLTPPT_sl1,SLTPPT_sl2,SLTPPT_sl3,SLTPPT_sl4,SLTPPT_sl5,SLTPPT_sl6,SLTPPT_sl7,SNDPPT_sl1,SNDPPT_sl2,SNDPPT_sl3,SNDPPT_sl4,SNDPPT_sl5,SNDPPT_sl6,SNDPPT_sl7
4,200,7,6973,1345,1308,1361,1413,1486,1503,1513,15,15,12,10,8,8,8,31,31,32,39,40,40,41,0,1,1,1,1,1,4,15,28,35,55,56,129,19,21,19,19,14,12,12,46,46,46,48,48,49,51,43,41,41,41,41,42,43,22,21,21,20,21,19,20,47,48,47,42,40,40,39
3,200,9,7272,1297,1287,1323,1428,1492,1508,1521,17,16,13,11,10,9,9,32,32,35,39,41,41,42,1,1,2,2,2,2,4,17,27,33,50,54,123,30,20,18,17,13,11,11,46,46,46,48,48,49,51,43,40,40,41,41,42,43,24,23,22,22,23,22,22,44,45,43,40,36,37,36
2,200,7,7281,1266,1249,1310,1387,1463,1491,1503,15,14,10,9,8,7,7,32,32,34,38,39,40,40,0,0,0,0,0,1,3,13,28,34,47,50,113,14,23,24,16,12,11,10,46,45,45,47,48,48,49,44,40,40,40,40,41,42,22,22,21,21,21,21,22,46,46,45,40,39,39,39
1,200,6,7457,1297,1277,1345,1409,1480,1506,1518,16,15,11,9,9,8,8,31,30,32,37,38,39,39,1,1,1,2,1,2,3,14,27,33,45,45,104,17,21,18,15,10,9,9,46,46,46,47,48,48,50,46,42,42,43,43,43,45,23,23,22,21,21,21,21,46,47,46,42,40,40,40
7,200,8,6771,1305,1289,1333,1438,1497,1510,1524,18,16,13,11,10,9,9,31,31,32,37,40,40,41,1,1,2,2,1,2,4,16,30,36,56,60,137,26,29,24,21,17,15,15,45,44,44,46,46,47,47,44,41,41,41,41,42,42,25,24,24,23,22,21,22,44,45,44,40,38,38,37
6,200,11,6991,1332,1324,1368,1422,1484,1501,1515,18,18,14,11,10,10,10,29,29,31,35,38,38,38,1,1,2,2,2,2,4,18,34,38,57,63,147,27,29,26,22,17,16,16,44,44,44,45,46,46,47,45,42,41,42,42,43,43,26,26,25,24,23,22,23,45,46,44,40,39,39,39
5,200,5,7303,1322,1277,1331,1416,1495,1514,1528,16,16,13,9,9,8,8,31,30,33,38,39,40,40,1,1,1,1,1,2,4,17,30,38,61,67,160,30,26,23,21,17,16,16,45,45,45,47,48,48,50,43,40,40,39,40,40,41,22,22,21,21,20,20,22,47,47,46,41,40,40,39
26,200,10,6471,1327,1303,1360,1424,1478,1495,1505,16,16,12,9,9,8,8,27,27,28,31,34,35,34,1,0,1,1,1,1,4,11,24,27,31,27,60,9,19,16,10,5,4,4,45,45,45,46,48,48,48,43,40,40,40,41,41,42,24,24,24,24,23,22,22,48,49,48,45,43,43,44
25,200,8,6288,1327,1306,1386,1434,1478,1508,1516,15,13,10,9,8,7,7,30,30,32,35,40,41,40,0,0,1,1,1,1,3,12,28,32,42,44,93,8,24,22,14,10,8,7,45,44,44,46,46,47,48,45,42,42,41,41,43,43,18,18,17,18,16,15,16,52,52,51,47,44,44,44
24,200,11,6866,1348,1308,1351,1421,1481,1490,1498,16,16,13,10,9,8,8,33,32,34,39,41,42,41,1,1,1,1,1,1,3,15,31,34,44,44,100,22,30,26,16,11,9,9,48,48,48,49,50,51,51,43,40,39,40,40,40,42,22,22,21,20,20,19,19,46,47,45,41,39,40,40
23,200,9,6959,1326,1303,1360,1413,1484,1495,1506,18,18,13,11,10,9,9,31,31,33,37,40,41,41,1,1,1,1,1,1,3,13,29,33,39,33,77,13,25,23,15,7,6,6,48,46,46,48,48,48,50,44,41,40,41,41,42,43,24,23,23,22,22,21,21,45,46,45,41,39,38,38
0,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36
27,200,11,6797,1332,1293,1353,1416,1478,1501,1506,17,17,13,10,10,8,8,31,31,32,36,38,38,37,0,0,0,0,0,0,2,12,29,37,49,53,129,9,24,25,18,13,13,13,45,45,44,46,47,47,48,44,40,39,40,40,41,42,23,23,23,23,22,22,22,46,46,44,41,40,39,40
18,200,10,5836,1309,1260,1353,1417,1472,1489,1499,15,13,9,8,8,7,7,29,29,32,38,42,42,42,2,2,2,2,2,2,4,12,22,27,35,34,76,20,18,17,13,8,7,7,44,43,44,45,45,46,47,43,41,41,41,41,42,42,21,20,20,19,19,18,18,49,51,47,43,40,39,40
17,200,7,6937,1327,1300,1351,1431,1480,1492,1502,14,14,13,11,11,10,10,31,31,33,39,40,41,40,0,0,0,1,0,0,3,16,26,31,44,43,95,28,20,20,16,11,9,8,46,45,45,47,47,47,48,44,41,40,41,41,42,43,21,21,20,19,20,19,20,48,48,46,42,40,41,41
16,200,10,7531,1314,1297,1330,1391,1468,1476,1486,17,15,12,11,10,8,8,30,29,32,35,39,39,39,1,1,1,2,2,2,4,15,26,32,47,51,119,28,19,20,18,13,12,11,46,46,45,47,47,48,49,44,41,40,41,41,42,42,23,23,22,22,20,19,20,47,48,46,43,40,41,41
15,200,9,7660,1325,1304,1350,1401,1480,1492,1500,17,16,13,10,9,9,9,30,28,32,36,39,39,39,1,1,1,1,1,2,3,16,26,32,47,48,110,31,21,19,17,12,10,10,47,46,46,47,48,49,49,45,42,41,42,42,42,43,23,23,22,22,22,21,21,47,48,46,42,40,40,40
22,200,10,6102,1308,1280,1359,1400,1468,1479,1488,18,17,13,11,10,10,10,30,30,32,35,38,38,38,0,0,1,1,0,1,2,11,29,33,40,38,91,1,23,22,15,8,7,8,46,44,44,46,46,47,48,44,42,42,42,42,43,43,24,23,23,23,21,22,23,46,47,45,42,40,40,40
21,200,8,6186,1309,1260,1345,1409,1475,1498,1507,15,13,8,8,7,7,7,31,30,32,38,43,43,43,6,6,6,6,7,7,9,9,23,25,30,26,52,0,19,18,11,6,5,4,48,47,47,48,49,49,50,45,41,41,41,41,42,42,19,18,18,17,16,15,16,50,52,49,45,41,42,42
20,200,7,5800,1303,1265,1344,1411,1477,1497,1504,13,12,8,7,7,7,7,28,28,31,36,42,42,42,0,0,0,0,0,0,2,10,24,26,32,27,60,0,21,18,12,6,5,5,47,46,46,48,48,49,50,44,40,40,40,40,41,42,20,19,18,18,16,16,17,52,53,51,46,41,42,42
19,200,9,5594,1289,1255,1345,1413,1468,1494,1503,14,13,8,8,6,6,6,29,29,32,39,43,44,44,0,0,0,1,0,1,3,12,24,28,36,39,89,19,20,21,13,9,9,8,45,45,46,47,47,48,49,44,41,41,41,41,42,42,20,19,18,17,17,16,16,51,52,51,43,40,41,41
10,200,8,6512,1313,1287,1337,1429,1488,1515,1528,17,15,11,10,9,9,9,32,30,33,40,42,43,42,1,1,1,2,2,2,4,12,27,34,47,48,114,12,23,22,18,12,11,11,45,45,45,47,48,48,49,44,41,42,42,42,42,43,24,24,24,22,21,20,22,44,46,43,39,37,37,36
9,200,8,7017,1322,1300,1355,1414,1475,1500,1513,20,18,14,10,10,9,9,31,31,32,36,38,38,38,1,1,1,2,1,2,5,14,31,36,48,53,124,15,28,27,18,15,14,14,46,45,45,47,48,48,49,42,39,39,40,40,40,41,28,27,27,26,25,25,26,41,42,41,38,37,36,36
8,200,9,7172,1346,1318,1369,1421,1481,1511,1524,20,19,14,12,11,10,10,27,27,29,32,36,36,36,0,0,1,1,1,1,4,14,30,35,52,55,127,15,30,23,21,15,14,14,46,46,45,46,47,47,48,44,41,40,40,40,41,42,27,26,26,25,23,23,22,46,48,46,43,41,41,41
14,200,9,7238,1331,1297,1375,1424,1496,1512,1519,17,15,11,9,8,7,7,33,32,35,40,44,44,43,0,0,1,1,1,1,3,11,26,33,48,50,116,7,21,22,17,12,11,10,48,46,46,47,48,49,49,43,39,39,39,40,41,41,23,23,22,22,20,20,21,44,45,43,39,36,36,36
13,200,7,6371,1333,1301,1374,1437,1502,1519,1522,15,14,11,9,8,8,8,32,31,33,39,42,42,42,0,0,0,0,0,1,2,15,29,32,40,40,92,19,26,23,14,9,8,8,47,45,45,46,46,47,48,42,39,39,39,39,40,40,24,24,23,22,21,21,22,43,44,43,39,37,37,36
12,200,8,6503,1326,1303,1349,1411,1471,1494,1505,15,14,10,9,9,8,8,30,30,32,38,40,40,40,1,1,2,2,1,1,5,16,29,35,50,51,117,29,29,26,20,14,12,12,45,46,45,46,46,46,48,43,40,40,40,40,41,42,25,23,23,22,22,21,21,45,47,45,40,39,39,38
11,200,11,6172,1334,1301,1357,1405,1472,1494,1506,15,15,11,9,9,8,8,29,29,30,36,38,38,39,2,2,2,2,2,2,5,17,32,40,60,65,155,34,32,29,24,18,17,17,45,45,44,46,46,47,48,46,41,42,42,41,42,42,25,25,24,23,23,22,22,45,46,45,41,40,39,39
